База данных обычного бетона — Normal Concrete ML Dataset;;;;;;;;;;;
Всего строк: 2412  |  Оба таргета (Slump+CS): 873  |  Только CS_28d: 1539  |  Источники: UCI Slump Test (Yeh,2007), Mendeley Guangxi (2022), UCI CS (Yeh,1998), Лист6;;;;;;;;;;;
Цемент (кг/м³);Шлак BFS (кг/м³);Зола-унос (кг/м³);Микрокремнезём (кг/м³);Вода (кг/м³);Суперпластификатор (кг/м³);ЩебеньКрупный заполнитель (кг/м³);Песок Мелкий заполнитель (кг/м³);Возраст (дней);Осадка конуса (мм)  ← ТАРГЕТ 1;Прочность CS_28d (МПа)  ← ТАРГЕТ 2;Источник
273,00;82,00;105,00;0,00;210,00;9,00;904,00;680,00;28;230;34,99;UCI_Slump_Test_Yeh2007
163,00;149,00;191,00;0,00;180,00;12,00;843,00;746,00;28;0;41,14;UCI_Slump_Test_Yeh2007
162,00;148,00;191,00;0,00;179,00;16,00;840,00;743,00;28;10;41,81;UCI_Slump_Test_Yeh2007
162,00;148,00;190,00;0,00;179,00;19,00;838,00;741,00;28;30;42,08;UCI_Slump_Test_Yeh2007
154,00;112,00;144,00;0,00;220,00;10,00;923,00;658,00;28;200;26,82;UCI_Slump_Test_Yeh2007
147,00;89,00;115,00;0,00;202,00;9,00;860,00;829,00;28;230;25,21;UCI_Slump_Test_Yeh2007
152,00;139,00;178,00;0,00;168,00;18,00;944,00;695,00;28;0;38,86;UCI_Slump_Test_Yeh2007
145,00;0,00;227,00;0,00;240,00;6,00;750,00;853,00;28;145;36,59;UCI_Slump_Test_Yeh2007
152,00;0,00;237,00;0,00;204,00;6,00;785,00;892,00;28;155;32,71;UCI_Slump_Test_Yeh2007
304,00;0,00;140,00;0,00;214,00;6,00;895,00;722,00;28;190;38,46;UCI_Slump_Test_Yeh2007
145,00;106,00;136,00;0,00;208,00;10,00;751,00;883,00;28;245;26,02;UCI_Slump_Test_Yeh2007
148,00;109,00;139,00;0,00;193,00;7,00;768,00;902,00;28;237,5;28,03;UCI_Slump_Test_Yeh2007
142,00;130,00;167,00;0,00;215,00;6,00;735,00;836,00;28;255;31,37;UCI_Slump_Test_Yeh2007
354,00;0,00;0,00;0,00;234,00;6,00;959,00;691,00;28;170;33,91;UCI_Slump_Test_Yeh2007
374,00;0,00;0,00;0,00;190,00;7,00;1 013,00;730,00;28;145;32,44;UCI_Slump_Test_Yeh2007
159,00;116,00;149,00;0,00;175,00;15,00;953,00;720,00;28;235;34,05;UCI_Slump_Test_Yeh2007
153,00;0,00;239,00;0,00;200,00;6,00;1 002,00;684,00;28;120;28,29;UCI_Slump_Test_Yeh2007
295,00;106,00;136,00;0,00;206,00;11,00;750,00;766,00;28;250;41,01;UCI_Slump_Test_Yeh2007
310,00;0,00;143,00;0,00;168,00;10,00;914,00;804,00;28;205;49,3;UCI_Slump_Test_Yeh2007
296,00;97,00;0,00;0,00;219,00;9,00;932,00;685,00;28;150;29,23;UCI_Slump_Test_Yeh2007
305,00;100,00;0,00;0,00;196,00;10,00;959,00;705,00;28;200;29,77;UCI_Slump_Test_Yeh2007
310,00;0,00;143,00;0,00;218,00;10,00;787,00;804,00;28;130;36,19;UCI_Slump_Test_Yeh2007
148,00;180,00;0,00;0,00;183,00;11,00;972,00;757,00;28;0;18,52;UCI_Slump_Test_Yeh2007
146,00;178,00;0,00;0,00;192,00;11,00;961,00;749,00;28;180;17,19;UCI_Slump_Test_Yeh2007
142,00;130,00;167,00;0,00;174,00;11,00;883,00;785,00;28;0;36,72;UCI_Slump_Test_Yeh2007
