date;mix_name;cement;sand;gravel;water;plasticizer_kg;plasticizer_type;fly_ash;microsilica_kg;microsilica_type;pm;kmv;mineral_powder;mineral_additive;dolomite;ak5;ak6;strength_1;strength_3;strength_7;strength_28
03.02.2021;Синтетический состав 1;264,0;844,0;1012,0;180,0;2,64;ST 4.3.1.;0,0;0,0;;0,0;21,3;31,5;0,0;0,0;0,0;0,0;15,9;24,9;30,9;38,1
03.02.2021;Синтетический состав 2;270,0;837,0;1012,0;180,0;2,7;ST 4.3.1.;0,0;0,0;;0,0;20,0;0,0;33,4;0,0;0,0;0,0;15,9;24,9;30,9;38,1
03.02.2021;Синтетический состав 3;272,0;840,0;1010,0;180,0;2,67;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;48,0;0,0;0,0;0,0;18,1;26,5;32,4;39,8
03.02.2021;Синтетический состав 4;320,0;840,0;1010,0;180,0;2,68;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
03.02.2021;Синтетический состав 5;272,0;840,0;1010,0;180,0;2,68;ST 4.3.1.;0,0;0,0;;0,0;0,0;37,1;10,9;0,0;0,0;0,0;18,1;26,5;32,4;39,8
03.02.2021;Синтетический состав 6;272,0;840,0;1010,0;180,0;2,71;ST 4.3.1.;0,0;0,0;;0,0;0,0;44,1;3,9;0,0;0,0;0,0;18,1;26,5;32,4;39,8
03.02.2021;Синтетический состав 7;266,0;834,0;1014,0;180,0;2,62;ST 4.3.1.;0,0;0,0;;0,0;45,5;0,0;14,9;0,0;0,0;0,0;15,4;25,1;30,8;38,2
03.02.2021;Синтетический состав 8;250,0;850,0;1015,0;180,0;2,49;ST 4.3.1.;0,0;0,0;;0,0;56,6;0,0;4,2;0,0;0,0;0,0;16,1;25,0;30,9;37,6
03.02.2021;Синтетический состав 9;337,0;823,0;1010,0;180,0;3,01;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;15,7;25,5;27,6;33,6
03.02.2021;Синтетический состав 10;280,0;840,0;1010,0;180,0;2,56;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;39,6;0,0;0,0;0,0;17,4;26,6;33,2;41,2
03.02.2021;Синтетический состав 11;272,0;840,0;1010,0;180,0;2,63;ST 4.3.1.;0,0;0,0;;0,0;0,0;21,5;26,5;0,0;0,0;0,0;15,9;25,4;31,5;39,1
03.02.2021;Синтетический состав 12;326,0;834,0;1010,0;180,0;2,83;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;16,1;24,7;27,2;33,2
03.02.2021;Синтетический состав 13;282,0;840,0;1010,0;180,0;2,69;ST 4.3.1.;0,0;0,0;;0,0;0,0;38,5;0,0;0,0;0,0;0,0;17,4;26,6;33,2;41,2
03.02.2021;Синтетический состав 14;279,0;843,0;1013,0;180,0;2,75;ST 4.3.1.;0,0;0,0;;0,0;0,0;35,9;0,0;0,0;0,0;0,0;18,1;26,5;32,4;39,8
03.02.2021;Синтетический состав 15;320,0;840,0;1010,0;180,0;2,62;ST 4.3.1.;0,0;0,0;;0,0;0,0;0,0;0,0;0,0;0,0;0,0;17,2;25,5;27,5;33,8
